		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	18:00		-0.80
	18:15	9.232	
	18:45	9.248	
	19:00		-0.90
	19:15	9.257	
	19:45	9.262	
	20:00		-0.90
	20:15	9.265	
	20:45	9.282	
	21:00		-0.80
	21:15	9.321	
	21:45	9.375	
	22:00		-1.00
	22:15	10.264	
	22:45	10.226	
	23:00		-1.10
	23:15	10.350	
	23:45	10.341	
Wed, 18/Jan	24:00		-1.30
	00:15	10.463	
	00:45	10.490	
	01:00		-1.60
	01:15	10.516	
	01:45	10.541	
	02:00		-1.80
	02:15	10.569	
	02:45	10.598	
	03:00		-2.00
	03:15	10.628	
	03:45	10.659	
	04:00		-2.20
	04:15	10.680	
	04:45	10.690	
	05:00		-2.20
	05:15	10.705	
	05:45	10.725	
	06:00		-2.30
	06:15	10.749	
	06:45	10.792	
	07:00		-2.50
	07:15	10.841	
	07:45	10.879	
	08:00		-2.60
	08:15	10.837	
	08:45	10.787	
	09:00		-2.60
	09:15	10.146	
	09:45	10.148	
	10:00		-2.70
	10:15	10.170	
	10:45	10.196	
	11:00		-2.70
	11:15	10.203	
	11:45	10.190	
	12:00		-2.30
	12:15	10.210	
	12:45	10.268	
	13:00		-2.50
	13:15	10.326	
	13:45	10.380	
	14:00		-2.60
	14:15	10.425	
	14:45	10.462	
	15:00		-2.50
	15:15	10.492	
	15:45	10.537	
	16:00		-2.20
	16:15	10.579	
	16:45	10.609	
	17:00		-2.00
	17:15	10.616	
	17:45	10.602	
	18:00		-1.60
	18:15	9.985	
	18:45	9.982	
	19:00		-1.60
	19:15	9.987	
	19:45	10.008	
	20:00		-1.80
	20:15	10.046	
	20:45	10.095	
	21:00		-1.90
	21:15	10.140	
	21:45	10.175	
	22:00		-1.90
	22:15	10.991	
	22:45	10.921	
	23:00		-1.80
	23:15	11.012	
	23:45	11.046	
Thu, 19/Jan	24:00		-1.80
	00:15	11.168	
	00:45	11.167	
	01:00		-1.80
	01:15	11.155	
	01:45	11.134	
	02:00		-1.70
	02:15	11.112	
	02:45	11.090	
	03:00		-1.60
	03:15	11.091	
	03:45	11.114	
	04:00		-1.80
	04:15	11.123	
	04:45	11.121	
	05:00		-1.80
	05:15	11.133	
	05:45	11.160	
	06:00		-2.00
	06:15	11.173	
	06:45	11.172	
	07:00		-2.00
	07:15	11.194	
	07:45	11.239	
	08:00		-2.30
	08:15	11.088	
	08:45	11.029	
	09:00		-2.30
	09:15	10.366	
	09:45	10.330	
	10:00		-2.10
	10:15	10.310	
	10:45	10.284	
	11:00		-1.80
	11:15	10.273	
	11:45	10.282	
	12:00		-1.80
	12:15	10.272	
	12:45	10.250	
	13:00		-1.30
	13:15	10.240	
	13:45	10.231	
	14:00		-1.00
	14:15	10.226	
	14:45	10.234	
	15:00		-0.80
	15:15	10.244	
	15:45	10.254	
	16:00		-0.50
	16:15	10.263	
	16:45	10.267	
